# time  ID  size  fromHost  toHost  TTL  isResponse
2933.9888 N134 1000000 ADB2 p2_20 300 N 
2941.0000 M99 149694 p2_23 ADB2 300 N 
2972.0621 N135 1000000 ADB2 p1_12 300 N 
2974.0000 M100 96890 p2_22 ADB2 300 N 
2977.5442 N136 1000000 ADB2 p1_11 300 N 
2992.6739 N137 1000000 ADB2 p2_22 300 N 
3003.0000 M101 96482 p1_10 ADB2 300 N 
3012.0079 N138 1000000 ADB2 p1_10 300 N 
3017.3486 N139 1000000 ADB2 p2_20 300 N 
3017.9870 N140 1000000 ADB2 p2_23 300 N 
3025.4846 N141 1000000 ADB2 p1_9 300 N 
3037.0000 M102 96401 p1_7 ADB2 300 N 
3055.1041 N142 1000000 ADB2 p2_21 300 N 
3061.6131 N143 1000000 ADB2 p2_21 300 N 
3064.0000 M103 148087 p1_7 ADB2 300 N 
3073.8320 N144 1000000 ADB2 p2_22 300 N 
3094.0000 M104 113634 p2_21 ADB2 300 N 
3106.1661 N145 1000000 ADB2 p1_6 300 N 
3121.0000 M105 97816 p1_13 ADB2 300 N 
3142.6364 N146 1000000 ADB2 p1_11 300 N 
3146.0000 M106 62689 p2_21 ADB2 300 N 
3175.0000 M107 140865 p1_12 ADB2 300 N 
3193.7954 N147 1000000 ADB2 p1_12 300 N 
3207.0000 M108 114851 p2_16 ADB2 300 N 
3217.3195 N148 1000000 ADB2 p2_15 300 N 
3231.4780 N149 1000000 ADB2 p2_16 300 N 
3235.0275 N150 1000000 ADB2 p1_6 300 N 
3237.0000 M109 135889 p2_19 ADB2 300 N 
3240.1806 N151 1000000 ADB2 p1_7 300 N 
3240.3324 N152 1000000 ADB2 p1_12 300 N 
3244.7662 N153 1000000 ADB2 p2_23 300 N 
3245.8670 N154 1000000 ADB2 p1_10 300 N 
3248.0308 N155 1000000 ADB2 p1_11 300 N 
3261.2712 N156 1000000 ADB2 p1_8 300 N 
3262.0000 M110 91039 p1_13 ADB2 300 N 
3295.0000 M111 137512 p1_11 ADB2 300 N 
3297.2534 N157 1000000 ADB2 p2_22 300 N 
3320.4456 N158 1000000 ADB2 p2_23 300 N 
3322.0000 M112 67153 p2_15 ADB2 300 N 
