# time  ID  size  fromHost  toHost  TTL  isResponse
601.6030 M294 1943266 p2_27 ADB3 300 N 
602.6766 M295 1448206 p2_28 ADB3 300 N 
604.4882 M296 1655694 p3_35 ADB3 300 N 
605.8738 M297 2917135 p1_11 ADB3 300 N 
606.5719 M298 1815258 p2_19 ADB3 300 N 
609.8686 M299 2647560 p3_30 ADB3 300 N 
609.9225 M300 2601070 p1_9 ADB3 300 N 
610.0756 M301 2819313 p3_32 ADB3 300 N 
613.4357 M302 2505750 p1_12 ADB3 300 N 
614.0497 M303 2118726 p1_9 ADB3 300 N 
614.6412 M304 1310020 p1_14 ADB3 300 N 
616.8576 M305 2145592 p2_24 ADB3 300 N 
619.4828 M306 2839008 p2_19 ADB3 300 N 
621.3059 M307 1918174 p1_12 ADB3 300 N 
621.8386 M308 1308218 p3_35 ADB3 300 N 
624.7287 M309 2650058 p2_27 ADB3 300 N 
628.2411 M310 2784452 p3_35 ADB3 300 N 
629.7742 M311 2408572 p2_26 ADB3 300 N 
632.2392 M312 1952295 p1_10 ADB3 300 N 
634.7928 M313 1769420 p1_16 ADB3 300 N 
635.4649 M314 2503057 p1_18 ADB3 300 N 
635.7436 M315 1150722 p2_23 ADB3 300 N 
637.2187 M316 2521246 p1_18 ADB3 300 N 
637.5977 M317 1099405 p3_31 ADB3 300 N 
638.9503 M318 1126897 p2_23 ADB3 300 N 
642.3523 M319 1622328 p1_9 ADB3 300 N 
642.7161 M320 2876827 p3_33 ADB3 300 N 
643.5515 M321 2672652 p3_36 ADB3 300 N 
645.4378 M322 2894126 p1_14 ADB3 300 N 
646.6877 M323 2588576 p3_32 ADB3 300 N 
646.7785 M324 2324947 p2_28 ADB3 300 N 
648.7069 M325 2966809 p1_9 ADB3 300 N 
650.5811 M326 2275082 p1_18 ADB3 300 N 
653.6408 M327 2726259 p1_10 ADB3 300 N 
655.5484 M328 1868575 p1_17 ADB3 300 N 
656.4485 M329 1055903 p1_9 ADB3 300 N 
663.3104 M330 1062721 p1_18 ADB3 300 N 
672.9612 M331 2698418 p1_14 ADB3 300 N 
678.5727 M332 2976525 p1_14 ADB3 300 N 
678.9730 M333 2698634 p3_32 ADB3 300 N 
680.1073 M334 1721766 p2_22 ADB3 300 N 
688.4126 M335 2692060 p1_11 ADB3 300 N 
690.0249 M336 2482315 p1_18 ADB3 300 N 
690.3843 M337 1296075 p2_23 ADB3 300 N 
694.6774 M338 2408672 p2_23 ADB3 300 N 
698.0905 M339 2149958 p2_19 ADB3 300 N 
698.1874 M340 2066360 p2_22 ADB3 300 N 
700.6619 M341 1353856 p2_25 ADB3 300 N 
704.9801 M342 2678857 p1_16 ADB3 300 N 
706.6415 M343 1264272 p3_33 ADB3 300 N 
707.0673 M344 2811089 p3_33 ADB3 300 N 
713.9586 M345 1285946 p2_19 ADB3 300 N 
716.2740 M346 1561706 p2_26 ADB3 300 N 
718.3123 M347 2433595 p1_16 ADB3 300 N 
723.6696 M348 1642685 p2_26 ADB3 300 N 
724.3650 M349 2711007 p2_19 ADB3 300 N 
724.8552 M350 2424477 p1_9 ADB3 300 N 
725.7266 M351 1973216 p1_11 ADB3 300 N 
726.9664 M352 2817470 p3_30 ADB3 300 N 
728.4485 M353 2477750 p3_34 ADB3 300 N 
730.3510 M354 2731976 p3_31 ADB3 300 N 
732.7938 M355 2193540 p2_22 ADB3 300 N 
734.2083 M356 1061949 p2_20 ADB3 300 N 
735.8924 M357 2573962 p1_9 ADB3 300 N 
736.8700 M358 2063802 p1_9 ADB3 300 N 
737.1320 M359 1085712 p1_11 ADB3 300 N 
738.6411 M360 1358265 p3_30 ADB3 300 N 
741.7845 M361 2542830 p3_32 ADB3 300 N 
743.3505 M362 1498284 p2_22 ADB3 300 N 
746.6528 M363 1085540 p1_14 ADB3 300 N 
749.7627 M364 1641683 p1_12 ADB3 300 N 
752.8803 M365 1623463 p3_29 ADB3 300 N 
752.9002 M366 1020510 p2_27 ADB3 300 N 
753.3489 M367 2364051 p1_9 ADB3 300 N 
759.0940 M368 1621761 p2_20 ADB3 300 N 
760.9335 M369 2059312 p1_14 ADB3 300 N 
762.9572 M370 1770451 p3_29 ADB3 300 N 
767.3321 M371 2155825 p3_36 ADB3 300 N 
770.3913 M372 1252565 p2_21 ADB3 300 N 
775.7830 M373 1938911 p2_24 ADB3 300 N 
775.8786 M374 1073971 p1_11 ADB3 300 N 
778.2011 M375 2870736 p1_14 ADB3 300 N 
786.0474 M376 1863025 p1_12 ADB3 300 N 
789.4739 M377 2722733 p1_14 ADB3 300 N 
795.1995 M378 2342725 p2_21 ADB3 300 N 
802.3516 M379 2816403 p1_16 ADB3 300 N 
802.3717 M380 2116370 p2_22 ADB3 300 N 
802.4649 M381 1868443 p1_11 ADB3 300 N 
802.4685 M382 1824783 p2_21 ADB3 300 N 
804.1986 M383 1240673 p2_20 ADB3 300 N 
804.6262 M384 2719294 p3_37 ADB3 300 N 
806.2129 M385 1639864 p2_21 ADB3 300 N 
806.9362 M386 1773714 p3_34 ADB3 300 N 
807.0113 M387 1220546 p1_17 ADB3 300 N 
807.8489 M388 1762068 p3_36 ADB3 300 N 
808.2637 M389 2097992 p3_31 ADB3 300 N 
808.5905 M390 2297390 p2_24 ADB3 300 N 
810.4602 M391 1731919 p2_28 ADB3 300 N 
812.3638 M392 1179575 p3_34 ADB3 300 N 
813.3894 M393 2926344 p2_25 ADB3 300 N 
817.2069 M394 1317782 p3_33 ADB3 300 N 
820.2807 M395 2129996 p3_33 ADB3 300 N 
825.2629 M396 1161182 p2_26 ADB3 300 N 
826.0358 M397 1169428 p1_10 ADB3 300 N 
