# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4333.5000 M4 73257 9 4221.5000 p5_57 ADB6 229 N p5_57->p5_63->p5_60->p5_62->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.6000 M34 94772 9 3326.6000 p5_58 ADB6 244 N p5_58->p5_59->p5_57->p5_62->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.7000 M109 135889 7 1096.7000 p4_50 ADB6 281 N p4_50->p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.8000 M81 137978 6 1922.8000 p4_47 ADB6 267 N p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.9000 M16 125016 9 3869.9000 p4_45 ADB6 235 N p4_45->p4_44->p4_50->p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.0000 M102 96401 7 1297.0000 p5_59 ADB6 278 N p5_59->p5_60->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.1000 M51 147770 8 2806.1000 p4_46 ADB6 253 N p4_46->p4_44->p4_51->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.2000 M53 133685 6 2748.2000 p4_53 ADB6 254 N p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.3000 M124 79639 6 673.3000 p4_47 ADB6 288 N p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.4000 M62 114734 10 2482.4000 p5_56 ADB6 258 N p5_56->p5_57->p5_54->p5_59->p5_60->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.5000 M7 62010 8 4131.5000 p5_58 ADB6 231 N p5_58->p5_54->p5_62->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.6000 M84 127575 8 1836.6000 p4_46 ADB6 269 N p4_46->p4_44->p4_51->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.7000 M67 85199 7 2337.7000 p4_52 ADB6 261 N p4_52->p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.8000 M117 103518 7 873.8000 p4_50 ADB6 285 N p4_50->p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4334.9000 M2 127273 9 4276.9000 p5_55 ADB6 228 N p5_55->p5_63->p5_60->p5_62->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4335.0000 M13 143107 8 3956.0000 p4_44 ADB6 234 N p4_44->p4_50->p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4335.1000 M49 105987 10 2870.1000 p5_61 ADB6 252 N p5_61->p5_58->p5_59->p5_57->p5_62->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4335.2000 M76 115606 6 2073.2000 p4_53 ADB6 265 N p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4335.3000 M86 135022 6 1774.3000 p4_51 ADB6 270 N p4_51->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4335.4000 M38 148725 7 3214.4000 p4_50 ADB6 246 N p4_50->p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4608.5000 M82 61477 7 2165.5000 p1_19 ADB6 263 N p1_19->p1_15->p1_17->p1_14->ADB5->WIFI_11->WIFI_12->ADB6
4608.6000 M75 66248 7 2379.6000 p1_21 ADB6 260 N p1_21->p1_15->p1_17->p1_14->ADB5->WIFI_11->WIFI_12->ADB6
4619.7000 M149 136647 1 217.7000 p2_29 ADB6 296 N p2_29->ADB6
4620.1000 M152 88468 1 132.1000 p2_29 ADB6 297 N p2_29->ADB6
4731.0000 M131 92886 1 858.0000 p2_27 ADB6 285 N p2_27->ADB6
4749.8000 N1606 1000000 5 1519.2254 ADB6 p1_23 274 N ADB6->WIFI_12->WIFI_11->ADB5->p1_22->p1_23
4755.3000 N1195 1000000 5 2411.2300 ADB6 p1_14 259 N ADB6->WIFI_12->WIFI_11->ADB5->p1_15->p1_14
4770.9000 M158 102730 3 88.9000 p2_24 ADB6 298 N p2_24->p2_32->p2_26->ADB6
4900.8000 M108 114851 5 1693.8000 p3_36 ADB6 271 N p3_36->p3_37->ADB7->WIFI_13->WIFI_12->ADB6
4917.9000 M133 141759 4 983.9000 p1_17 ADB6 283 N p1_17->ADB5->WIFI_11->WIFI_12->ADB6
4956.3000 N1210 1000000 6 2589.1503 ADB6 p1_22 256 N ADB6->WIFI_12->WIFI_11->ADB5->p1_15->p1_17->p1_22
4963.9000 M165 76052 1 79.9000 p2_25 ADB6 298 N p2_25->ADB6
5018.6000 M106 62689 4 1872.6000 p1_19 ADB6 268 N p1_19->ADB5->WIFI_11->WIFI_12->ADB6
5121.2000 M168 104957 3 138.2000 p2_29 ADB6 297 N p2_29->p2_32->p2_26->ADB6
5121.6000 M162 89285 1 325.6000 p2_26 ADB6 294 N p2_26->ADB6
5198.9000 M151 86319 5 736.9000 p3_36 ADB6 287 N p3_36->p3_41->ADB7->WIFI_13->WIFI_12->ADB6
5199.0000 M132 115115 6 1295.0000 p3_39 ADB6 278 N p3_39->p3_36->p3_41->ADB7->WIFI_13->WIFI_12->ADB6
5199.1000 M169 148916 5 186.1000 p3_36 ADB6 296 N p3_36->p3_41->ADB7->WIFI_13->WIFI_12->ADB6
5295.2000 M173 79743 2 166.2000 p2_30 ADB6 297 N p2_30->p2_32->ADB6
5297.6000 M130 86904 4 1455.6000 p3_40 ADB6 275 N p3_40->ADB7->WIFI_13->WIFI_12->ADB6
5410.4000 M138 89621 4 1330.4000 p1_20 ADB6 277 N p1_20->ADB5->WIFI_11->WIFI_12->ADB6
5451.8000 M146 55487 6 1137.8000 p1_21 ADB6 281 N p1_21->p1_16->p1_23->ADB5->WIFI_11->WIFI_12->ADB6
5451.9000 M115 54649 5 2043.9000 p1_20 ADB6 265 N p1_20->p1_23->ADB5->WIFI_11->WIFI_12->ADB6
5452.0000 M129 110878 5 1641.0000 p1_22 ADB6 272 N p1_22->p1_23->ADB5->WIFI_11->WIFI_12->ADB6
5474.4000 M167 99317 4 525.4000 p3_43 ADB6 291 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
5474.5000 M175 68459 4 285.5000 p3_43 ADB6 295 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
5474.6000 M164 122765 4 624.6000 p3_43 ADB6 289 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
5564.5000 M185 122495 1 71.5000 p2_24 ADB6 298 N p2_24->ADB6
5622.8000 M155 112207 4 1042.8000 p1_19 ADB6 282 N p1_19->ADB5->WIFI_11->WIFI_12->ADB6
5628.0000 M187 67614 1 85.0000 p2_30 ADB6 298 N p2_30->ADB6
5755.0000 M148 75450 6 1387.0000 p1_16 ADB6 276 N p1_16->p1_15->p1_14->ADB5->WIFI_11->WIFI_12->ADB6
5791.5000 N1603 1000000 6 2562.4039 ADB6 p3_40 257 N ADB6->WIFI_12->WIFI_13->ADB7->p3_38->p3_42->p3_40
5917.6000 M182 86202 4 522.6000 p2_26 ADB6 291 N p2_26->p2_32->p2_29->p2_33->ADB6
6124.8000 M159 115139 6 1415.8000 p1_16 ADB6 276 N p1_16->p1_23->p1_15->ADB5->WIFI_11->WIFI_12->ADB6
6157.1000 M199 111777 2 267.1000 p2_29 ADB6 295 N p2_29->p2_25->ADB6
6203.8000 M195 67519 2 420.8000 p2_27 ADB6 292 N p2_27->p2_28->ADB6
6204.3000 M200 118739 1 286.3000 p2_28 ADB6 295 N p2_28->ADB6
6344.0000 M211 142694 1 105.0000 p2_29 ADB6 298 N p2_29->ADB6
6379.3000 N1480 1000000 7 3403.6591 ADB6 p3_43 243 N ADB6->WIFI_12->WIFI_13->ADB7->p3_41->p3_42->p3_34->p3_43
6444.4707 M213 88354 1 149.4707 p2_24 ADB6 297 N p2_24->ADB6
6453.6000 N2431 1000000 5 1574.4230 ADB6 p3_34 273 N ADB6->WIFI_12->WIFI_13->ADB7->p3_37->p3_34
6484.7000 M139 57091 9 2372.7000 p5_62 ADB6 260 N p5_62->p5_61->p5_54->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6484.8000 M107 140865 7 3309.8000 p5_57 ADB6 244 N p5_57->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6484.9000 M126 62443 6 2760.9000 p5_58 ADB6 253 N p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.0000 M150 69739 7 2053.0000 p5_54 ADB6 265 N p5_54->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.0990 M91 73996 8 3781.0990 p5_55 ADB6 236 N p5_55->p5_57->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.2000 M114 76370 9 3106.2000 p5_61 ADB6 248 N p5_61->p5_59->p5_62->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.3000 M125 120651 9 2794.3000 p5_62 ADB6 253 N p5_62->p5_61->p5_54->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.4000 M171 132141 7 1416.4000 p5_62 ADB6 276 N p5_62->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.5000 M134 106159 9 2517.5000 p5_61 ADB6 258 N p5_61->p5_59->p5_62->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.6000 M160 131657 7 1749.6000 p5_54 ADB6 270 N p5_54->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6485.7000 M110 91039 7 3223.7000 p5_57 ADB6 246 N p5_57->p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
6780.4000 M210 145690 4 572.4000 p1_20 ADB6 290 N p1_20->ADB5->WIFI_11->WIFI_12->ADB6
6780.5000 M92 87938 4 4046.5000 p1_20 ADB6 232 N p1_20->ADB5->WIFI_11->WIFI_12->ADB6
6829.0000 M225 79412 4 183.0000 p3_35 ADB6 296 N p3_35->ADB7->WIFI_13->WIFI_12->ADB6
6834.0000 N3028 1000000 5 796.1973 ADB6 p3_40 286 N ADB6->WIFI_12->WIFI_13->ADB7->p3_35->p3_40
7155.7000 N3606 1000000 4 9.5922 ADB6 p3_37 299 N ADB6->WIFI_12->WIFI_13->ADB7->p3_37
7174.0000 N3025 1000000 6 1143.8333 ADB6 p3_38 280 N ADB6->WIFI_12->WIFI_13->ADB7->p3_35->p3_39->p3_38
7190.2000 M232 100058 4 331.2000 p3_43 ADB6 294 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7190.3000 M180 51076 6 1852.3000 p3_42 ADB6 269 N p3_42->p3_34->p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7190.4000 M206 112621 5 1099.4000 p3_34 ADB6 281 N p3_34->p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7190.5000 M179 65625 6 1881.5000 p3_42 ADB6 268 N p3_42->p3_34->p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7190.6000 M197 111202 4 1355.6000 p3_43 ADB6 277 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7190.7000 M188 126547 4 1617.7000 p3_43 ADB6 273 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7190.8000 M128 74055 5 3404.8000 p3_34 ADB6 243 N p3_34->p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7190.9000 M243 60860 4 10.9000 p3_43 ADB6 299 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
7191.3000 N2661 1000000 7 1913.0838 ADB6 p3_34 268 N ADB6->WIFI_12->WIFI_13->ADB7->p3_40->p3_38->p3_36->p3_34
7232.3000 M235 119420 2 290.3000 p2_33 ADB6 295 N p2_33->p2_25->ADB6
7232.9000 M219 145653 2 761.9000 p2_33 ADB6 287 N p2_33->p2_25->ADB6
7233.4000 M218 114723 3 788.4000 p2_30 ADB6 286 N p2_30->p2_29->p2_25->ADB6
7253.9000 N2607 1000000 4 2080.6727 ADB6 p2_32 265 N ADB6->p2_24->p2_30->p2_28->p2_32
7257.9000 N3115 1000000 2 1059.6069 ADB6 p2_32 282 N ADB6->p2_28->p2_32
7469.1000 M202 123392 4 1495.1000 p1_19 ADB6 275 N p1_19->ADB5->WIFI_11->WIFI_12->ADB6
7517.2000 N3764 1000000 4 58.8363 ADB6 p1_18 299 N ADB6->WIFI_12->WIFI_11->ADB5->p1_18
7564.1000 M222 131369 1 1008.1000 p2_31 ADB6 283 N p2_31->ADB6
7571.2000 M189 134866 6 1969.2000 p5_58 ADB6 267 N p5_58->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
7571.3000 M147 57429 7 3229.3000 p4_46 ADB6 246 N p4_46->p4_52->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
7571.4000 M170 52107 7 2528.4000 p4_49 ADB6 257 N p4_49->p4_52->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
7571.5000 M176 95444 8 2354.5000 p4_45 ADB6 260 N p4_45->p4_49->p4_52->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
