# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2318.8000 M660 2232826 1 942.9982 p1_17 ADB3 284 N p1_17->ADB3
2323.0000 M851 1030526 1 552.9768 p1_17 ADB3 290 N p1_17->ADB3
2332.5000 M634 2354351 1 1000.4063 p1_17 ADB3 283 N p1_17->ADB3
2348.6000 M960 2206803 1 383.9361 p1_16 ADB3 293 N p1_16->ADB3
2362.7000 M598 2538738 2 1115.0928 p1_13 ADB3 281 N p1_13->p1_9->ADB3
2369.3000 M999 1644852 1 329.1803 p1_9 ADB3 294 N p1_9->ADB3
2384.1000 M1101 1658894 1 92.4847 p1_12 ADB3 298 N p1_12->ADB3
2393.1000 M657 2234563 2 1023.8714 p1_13 ADB3 282 N p1_13->p1_12->ADB3
2402.7000 M943 2393656 1 473.6077 p1_12 ADB3 292 N p1_12->ADB3
2409.1000 M1000 1594193 1 368.1885 p1_12 ADB3 293 N p1_12->ADB3
2412.9000 N3 1000000 6 793.4264 ADB3 p2_23 286 N ADB3->WIFI_7->ADB3->CD6->ADB4->p2_20->p2_23
2417.3000 M1115 1848266 1 108.9148 p1_17 ADB3 298 N p1_17->ADB3
2427.6000 M1133 2555120 1 80.6072 p1_17 ADB3 298 N p1_17->ADB3
2438.5000 M912 2540430 1 564.7094 p1_14 ADB3 290 N p1_14->ADB3
2442.7000 M1011 1030199 1 378.6802 p1_14 ADB3 293 N p1_14->ADB3
2448.7000 M962 1481195 1 481.2525 p1_14 ADB3 291 N p1_14->ADB3
2458.6000 M813 1311508 2 766.6149 p1_10 ADB3 287 N p1_10->p1_16->ADB3
2464.2000 M888 1387385 1 638.7901 p1_16 ADB3 289 N p1_16->ADB3
2470.8000 M975 1632349 1 482.3441 p1_16 ADB3 291 N p1_16->ADB3
2487.4000 M784 2431023 1 861.0103 p1_15 ADB3 285 N p1_15->ADB3
2493.7000 M1037 1265238 1 359.8372 p1_17 ADB3 294 N p1_17->ADB3
2500.2000 M1089 1612890 1 239.7707 p1_17 ADB3 296 N p1_17->ADB3
2524.7000 M1116 1347027 1 216.0563 p1_18 ADB3 296 N p1_18->ADB3
2531.2000 M1212 1603011 1 8.2024 p1_18 ADB3 299 N p1_18->ADB3
2543.1000 M774 2955534 3 935.8014 p1_12 ADB3 284 N p1_12->p1_11->p1_18->ADB3
2553.2000 M973 1546185 2 567.9056 p1_18 ADB3 290 N p1_18->p1_10->ADB3
